id,title,authors,link,tags,originally_announced_at
55,Deep Recurrent Neural Networks for Acoustic Modelling,"['William Chan', 'Ian Lane']",https://arxiv.org/abs/1504.01482,"['cs.LG', 'cs.CL', 'cs.NE', 'stat.ML']","Submitted 7 April, 2015; 
      originally announced April 2015."
56,Transferring Knowledge from a RNN to a DNN,"['William Chan', 'Nan Rosemary Ke', 'Ian Lane']",https://arxiv.org/abs/1504.01483,"['cs.LG', 'cs.CL', 'cs.NE', 'stat.ML']","Submitted 7 April, 2015; 
      originally announced April 2015."
57,Bidirectional Recurrent Neural Networks as Generative Models - Reconstructing Gaps in Time Series,"['Mathias Berglund', 'Tapani Raiko', 'Mikko Honkala', 'Leo Kärkkäinen', 'Akos Vetek', 'Juha Karhunen']",https://arxiv.org/abs/1504.01575,"['cs.LG', 'cs.NE']","Submitted 2 November, 2015; v1 submitted 7 April, 2015;
      originally announced April 2015."
58,Compositional Vector Space Models for Knowledge Base Completion,"['Arvind Neelakantan', 'Benjamin Roth', 'Andrew McCallum']",https://arxiv.org/abs/1504.06662,"['cs.CL', 'stat.ML']","Submitted 27 May, 2015; v1 submitted 24 April, 2015;
      originally announced April 2015."
59,Learning like a Child: Fast Novel Visual Concept Learning from Sentence Descriptions of Images,"['Junhua Mao', 'Wei Xu', 'Yi Yang', 'Jiang Wang', 'Zhiheng Huang', 'Alan Yuille']",https://arxiv.org/abs/1504.06692,"['cs.CV', 'cs.CL', 'cs.LG']","Submitted 1 October, 2015; v1 submitted 25 April, 2015;
      originally announced April 2015."
60,A Fixed-Size Encoding Method for Variable-Length Sequences with its Application to Neural Network Language Models,"['Shiliang Zhang', 'Hui Jiang', 'Mingbin Xu', 'Junfeng Hou', 'Lirong Dai']",https://arxiv.org/abs/1505.01504,"['cs.NE', 'cs.CL', 'cs.LG']","Submitted 16 June, 2015; v1 submitted 6 May, 2015;
      originally announced May 2015."
61,Language Models for Image Captioning: The Quirks and What Works,"['Jacob Devlin', 'Hao Cheng', 'Hao Fang', 'Saurabh Gupta', 'Li Deng', 'Xiaodong He', 'Geoffrey Zweig', 'Margaret Mitchell']",https://arxiv.org/abs/1505.01809,"['cs.CL', 'cs.AI', 'cs.CV', 'cs.LG']","Submitted 14 October, 2015; v1 submitted 7 May, 2015;
      originally announced May 2015."
62,Jointly Modeling Embedding and Translation to Bridge Video and Language,"['Yingwei Pan', 'Tao Mei', 'Ting Yao', 'Houqiang Li', 'Yong Rui']",https://arxiv.org/abs/1505.01861,"['cs.CV', 'cs.MM']","Submitted 4 June, 2015; v1 submitted 7 May, 2015;
      originally announced May 2015."
63,A Critical Review of Recurrent Neural Networks for Sequence Learning,"['Zachary C. Lipton', 'John Berkowitz', 'Charles Elkan']",https://arxiv.org/abs/1506.00019,"['cs.LG', 'cs.NE']","Submitted 17 October, 2015; v1 submitted 29 May, 2015;
      originally announced June 2015."
64,Recurrent Neural Networks with External Memory for Language Understanding,"['Baolin Peng', 'Kaisheng Yao']",https://arxiv.org/abs/1506.00195,"['cs.CL', 'cs.AI', 'cs.LG', 'cs.NE']","Submitted 31 May, 2015; 
      originally announced June 2015."
